series_id,game_id,round_id,map_name,round_num,source_subset,y_true,ct_win_probability,t_win_probability,predicted_label,correct,ct_score,t_score,score_diff_ct,ct_eq_value,t_eq_value,eq_value_diff_ct,ct_cash,t_cash,cash_diff_ct,ct_armor,t_armor,armor_diff_ct,ct_helmets,t_helmets,helmet_diff_ct,ct_defuse_kits,ct_grenades,t_grenades,grenade_diff_ct,ct_ak47,t_ak47,ct_m4a4,t_m4a4,ct_m4a1_s,t_m4a1_s,ct_awp,t_awp,awp_diff_ct,ct_rifles,t_rifles,rifle_diff_ct,ct_smgs,t_smgs,smg_diff_ct,first_kill_side,first_death_side,first_kill_weapon,first_kill_headshot,first_kill_time,round_stage,equipment_band,assigned_side_probability,predicted_side,actual_winner,pre_round_pattern,outcome_pattern,predicted_side_won_first_kill
63e0d98d-fd95-4698-9d12-808508005ee2,online:1f4b1506-6f45-43ee-8b4c-82961eb4bd5b,online:1f4b1506-6f45-43ee-8b4c-82961eb4bd5b_2,de_vertigo,2,online,0,0.97723436,0.022765636,1,False,1,0,1,19950,1100,18850,500,10750,-10250,5,0,5,5,0,5,1,16,0,16,0,0,1,0,0,0,0,0,0,1,0,1,4,0,4,CT,T,MP9,0.0,56.171875,early_01_10,ct_major,0.97723436,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_after_first_kill,True
47cef15a-cf52-476e-afba-abe0c33843f9,lan:2a99d649-c6bb-4f90-8f2c-664b7738a2d9,lan:2a99d649-c6bb-4f90-8f2c-664b7738a2d9_6,de_ancient,6,lan,0,0.97652096,0.023479044,1,False,2,3,-1,30750,1600,29150,24250,10250,14000,5,0,5,5,0,5,5,20,0,20,3,0,0,0,1,0,1,0,1,4,0,4,0,0,0,CT,T,AK-47,0.0,27.328125,early_01_10,ct_major,0.97652096,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_after_first_kill,True
c7f0e145-6303-40e6-9b79-ab0f825db57d,online:f6dd9383-8d0b-46b6-b255-c3747d107355,online:f6dd9383-8d0b-46b6-b255-c3747d107355_10,de_mirage,10,online,0,0.97563225,0.02436775,1,False,5,4,1,28500,1600,26900,7650,9750,-2100,5,0,5,4,0,4,4,20,0,20,0,0,2,0,0,0,1,0,1,3,0,3,0,0,0,T,CT,Desert Eagle,1.0,52.99212598425197,early_01_10,ct_major,0.97563225,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
90da2c53-5a02-4f16-8abe-f2235da5ffbd,online:478d378e-e7c1-4d64-a3f3-679ee18f27b5,online:478d378e-e7c1-4d64-a3f3-679ee18f27b5_17,de_nuke,17,online,0,0.97489387,0.025106132,1,False,8,8,0,19650,1500,18150,700,10300,-9600,5,0,5,5,0,5,1,14,0,14,0,0,0,0,0,0,0,0,0,3,0,3,2,0,2,CT,T,MP9,1.0,28.6953125,middle_11_20,ct_major,0.97489387,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_after_first_kill,True
c7f0e145-6303-40e6-9b79-ab0f825db57d,online:f6dd9383-8d0b-46b6-b255-c3747d107355,online:f6dd9383-8d0b-46b6-b255-c3747d107355_14,de_mirage,14,online,0,0.9745277,0.025472283,1,False,7,6,1,32300,1600,30700,6900,11450,-4550,5,0,5,3,0,3,4,17,0,17,1,0,3,0,0,0,2,0,2,3,0,3,0,0,0,T,CT,Desert Eagle,1.0,29.559055118110237,middle_11_20,ct_major,0.9745277,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
8fadbb13-3728-4211-b0eb-cd4075a60218,lan:44d5e289-b224-43ae-aaf2-3d79accc7909,lan:44d5e289-b224-43ae-aaf2-3d79accc7909_7,de_nuke,7,lan,1,0.03749053,0.96250945,0,False,3,3,0,1500,21100,-19600,10000,9000,1000,0,5,-5,0,5,-5,0,0,14,-14,0,1,0,0,0,1,0,0,0,0,3,-3,0,2,-2,CT,T,Knife,0.0,23.070866141732285,early_01_10,t_major,0.96250947,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
c7f0e145-6303-40e6-9b79-ab0f825db57d,online:ba19b05b-3103-4cbd-9f57-41d222f71770,online:ba19b05b-3103-4cbd-9f57-41d222f71770_10,de_inferno,10,online,1,0.038438637,0.9615614,0,False,4,5,-1,1000,25200,-24200,13250,21900,-8650,0,5,-5,0,5,-5,0,0,17,-17,0,5,0,0,0,0,0,0,0,0,5,-5,0,0,0,CT,T,P250,0.0,39.2265625,early_01_10,t_major,0.961561363,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
0f222f22-1d61-48c7-92a7-0578174959ba,online:6f87123d-f8ab-4b80-94fb-83afdb2632f9,online:6f87123d-f8ab-4b80-94fb-83afdb2632f9_7,de_mirage,7,online,1,0.04313397,0.956866,0,False,4,2,2,1000,25600,-24600,11800,24400,-12600,0,5,-5,0,5,-5,0,0,14,-14,0,5,0,0,0,0,0,0,0,0,5,-5,0,0,0,T,CT,AK-47,0.0,42.74803149606299,early_01_10,t_major,0.95686603,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_after_first_kill,True
c7f0e145-6303-40e6-9b79-ab0f825db57d,online:f6dd9383-8d0b-46b6-b255-c3747d107355,online:f6dd9383-8d0b-46b6-b255-c3747d107355_23,de_mirage,23,online,1,0.043180518,0.9568195,0,False,9,13,-4,1800,23750,-21950,14250,8900,5350,0,5,-5,0,5,-5,0,0,14,-14,0,3,0,0,0,0,0,1,-1,0,3,-3,0,0,0,CT,T,CZ75 Auto,0.0,23.858267716535433,late_21_plus,t_major,0.956819482,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
5a4c75ca-ed01-4d01-8d2c-97409a9f5113,lan:88551554-2186-4d7e-95c2-f7f22e543d9f,lan:88551554-2186-4d7e-95c2-f7f22e543d9f_12,de_nuke,12,lan,1,0.04340154,0.95659846,0,False,6,5,1,1800,26100,-24300,10750,13500,-2750,0,5,-5,0,5,-5,0,1,19,-18,0,3,0,0,0,0,0,1,-1,0,3,-3,0,1,-1,CT,T,Desert Eagle,0.0,17.606299212598426,middle_11_20,t_major,0.95659846,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
4a71cdc5-d58e-464b-8d0d-fa5fa7c80762,lan:44c78b55-2961-40a1-ae4f-abe2d8309ebd,lan:44c78b55-2961-40a1-ae4f-abe2d8309ebd_3,de_dust2,3,lan,1,0.05976019,0.9402398,0,False,0,2,-2,2000,22050,-20050,11850,12250,-400,0,5,-5,0,5,-5,0,0,16,-16,0,2,0,0,0,0,0,0,0,0,3,-3,0,1,-1,CT,T,Desert Eagle,1.0,23.724409448818896,early_01_10,t_major,0.94023981,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
4a71cdc5-d58e-464b-8d0d-fa5fa7c80762,lan:44c78b55-2961-40a1-ae4f-abe2d8309ebd,lan:44c78b55-2961-40a1-ae4f-abe2d8309ebd_6,de_dust2,6,lan,0,0.9400609,0.059939086,1,False,3,2,1,33500,2300,31200,11000,11700,-700,5,0,5,5,0,5,5,19,1,18,1,0,2,0,0,0,2,0,2,3,0,3,0,0,0,T,CT,Desert Eagle,1.0,46.91338582677165,early_01_10,ct_major,0.9400609,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
c7f0e145-6303-40e6-9b79-ab0f825db57d,online:ba19b05b-3103-4cbd-9f57-41d222f71770,online:ba19b05b-3103-4cbd-9f57-41d222f71770_28,de_inferno,28,online,1,0.07570303,0.924297,0,False,14,13,1,2300,22050,-19750,11550,6450,5100,0,5,-5,0,5,-5,0,1,18,-17,0,2,0,0,0,0,0,0,0,0,4,-4,0,1,-1,T,CT,AK-47,1.0,19.3671875,late_21_plus,t_major,0.92429697,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_after_first_kill,True
641fd7e4-544b-4e92-8d2b-536a5825376c,online:948ddde3-3a34-47ff-a72b-b385457ea9a6,online:948ddde3-3a34-47ff-a72b-b385457ea9a6_18,de_mirage,18,online,1,0.07929134,0.92070866,0,False,12,5,7,2500,21550,-19050,11700,4850,6850,0,5,-5,0,5,-5,0,0,13,-13,0,3,0,0,0,0,0,0,0,0,4,-4,0,1,-1,CT,T,Desert Eagle,1.0,8.4921875,middle_11_20,t_major,0.92070866,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
7661436d-fb0d-44ba-859a-02946733736c,lan:c707514f-6eda-4e43-ade5-2a3056cfb38f,lan:c707514f-6eda-4e43-ade5-2a3056cfb38f_19,de_nuke,19,lan,0,0.91794044,0.08205956,1,False,6,12,-6,27950,3000,24950,11150,11350,-200,5,0,5,4,0,4,5,19,1,18,1,0,0,0,3,0,0,0,0,4,0,4,0,0,0,T,CT,Desert Eagle,1.0,12.1640625,middle_11_20,ct_major,0.91794044,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
6a2d54ef-429f-4236-9501-60e7549f32ce,online:0240b0da-b2d9-40fb-9332-f3134243d2b6,online:0240b0da-b2d9-40fb-9332-f3134243d2b6_22,de_inferno,22,online,0,0.91762704,0.08237296,1,False,9,12,-3,29750,2800,26950,17400,9850,7550,5,0,5,5,0,5,4,19,3,16,0,0,0,0,3,0,1,0,1,4,0,4,0,0,0,T,CT,Tec-9,1.0,51.78125,late_21_plus,ct_major,0.91762704,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
c061918a-87ee-477d-afcc-12dab5a769ae,online:25d1ece6-8169-419d-a231-9ad4b920ace3,online:25d1ece6-8169-419d-a231-9ad4b920ace3_25,de_dust2,25,online,1,0.08450845,0.9154916,0,False,14,10,4,2500,27650,-25150,21300,20650,650,0,5,-5,0,5,-5,0,0,17,-17,0,3,0,1,0,0,0,1,-1,0,4,-4,0,0,0,CT,T,P250,1.0,18.30708661417323,late_21_plus,t_major,0.91549155,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
a997b20a-a1e1-4c8f-9624-8aa733a72ded,online:8a024690-6636-4b94-8211-683c104f6d84,online:8a024690-6636-4b94-8211-683c104f6d84_22,de_vertigo,22,online,1,0.09456461,0.9054354,0,False,7,14,-7,2750,27850,-25100,8800,13050,-4250,1,5,-4,0,5,-5,0,2,20,-18,0,4,0,0,0,0,0,1,-1,0,4,-4,0,0,0,T,CT,AWP,0.0,13.671875,late_21_plus,t_major,0.9054353900000001,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_after_first_kill,True
ffa461c3-e698-46a0-955c-bbc4d4369210,lan:5e987f3c-2a75-4c63-8f04-0fac59abcc92,lan:5e987f3c-2a75-4c63-8f04-0fac59abcc92_13,de_mirage,13,lan,0,0.89304334,0.10695666,1,False,4,8,-4,33200,3050,30150,13100,13600,-500,5,1,4,5,0,5,5,20,3,17,1,0,0,0,2,0,2,0,2,3,0,3,0,0,0,T,CT,Tec-9,0.0,23.7265625,middle_11_20,ct_major,0.89304334,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
bc33710d-1499-4a28-b981-ad5b0eb061a1,lan:59610ddd-4588-4379-8b1e-b8a84a678ed9,lan:59610ddd-4588-4379-8b1e-b8a84a678ed9_9,de_ancient,9,lan,0,0.8927146,0.10728538,1,False,5,3,2,30550,5100,25450,5550,12100,-6550,5,1,4,5,1,4,4,17,3,14,0,0,1,0,3,0,1,0,1,4,0,4,0,0,0,T,CT,Tec-9,1.0,10.645669291338583,early_01_10,ct_major,0.8927146,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
747526c1-f423-435f-8941-8064849b1c57,online:34525ebe-5474-46a4-9eda-3b5dc358314d,online:34525ebe-5474-46a4-9eda-3b5dc358314d_26,de_overpass,26,online,0,0.8828253,0.117174685,1,False,12,13,-1,31150,4200,26950,20150,14250,5900,5,1,4,5,1,4,4,19,5,14,2,0,1,0,0,0,1,0,1,4,0,4,0,0,0,CT,T,AWP,0.0,52.48031496062992,late_21_plus,ct_major,0.8828253,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_after_first_kill,True
a7c08561-b718-493f-bb11-bf76aa1a221c,lan:f982160d-7649-4460-b25f-38fd94343529,lan:f982160d-7649-4460-b25f-38fd94343529_4,de_inferno,4,lan,0,0.8826573,0.11734271,1,False,3,0,3,28900,4300,24600,6550,11650,-5100,5,1,4,5,1,4,4,20,2,18,1,0,0,0,4,0,0,0,0,5,0,5,0,0,0,T,CT,Tec-9,1.0,14.338582677165354,early_01_10,ct_major,0.8826573,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
28c6914e-e018-4d50-82f0-84082ae40d60,lan:7bd3ccfd-d101-4972-8e54-230434c33ceb,lan:7bd3ccfd-d101-4972-8e54-230434c33ceb_12,de_mirage,12,lan,0,0.87860006,0.12139994,1,False,8,3,5,33800,3150,30650,26400,13650,12750,5,1,4,5,0,5,4,17,1,16,0,0,1,0,0,0,2,0,2,3,0,3,0,0,0,T,CT,Desert Eagle,0.0,42.08661417322835,middle_11_20,ct_major,0.87860006,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
343edef3-916d-4f85-93b4-3b32c0c70d00,lan:f912d2b7-3bec-47a2-9609-0ab73fb263e3,lan:f912d2b7-3bec-47a2-9609-0ab73fb263e3_9,de_mirage,9,lan,0,0.8778928,0.12210721,1,False,7,1,6,31150,5250,25900,21950,13800,8150,5,2,3,5,1,4,4,19,6,13,1,0,0,0,3,0,1,0,1,4,0,4,0,0,0,T,CT,Tec-9,1.0,36.60629921259842,early_01_10,ct_major,0.8778928,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
f0c01bf0-17ea-45a3-a5c5-f50269a1cefb,online:297643ce-df7a-470e-8c22-904f4595c3d6,online:297643ce-df7a-470e-8c22-904f4595c3d6_14,de_overpass,14,online,0,0.8774311,0.122568905,1,False,6,7,-1,31850,5100,26750,11700,11700,0,5,3,2,5,1,4,5,20,1,19,0,0,1,0,3,0,1,0,1,4,0,4,0,0,0,T,CT,Desert Eagle,0.0,68.28125,middle_11_20,ct_major,0.8774311,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
f107e704-85f7-44aa-9a35-ad7ac601c4d2,lan:252b2257-340c-42c8-8210-5e62674bcd52,lan:252b2257-340c-42c8-8210-5e62674bcd52_9,de_ancient,9,lan,0,0.8767585,0.123241484,1,False,3,5,-2,32250,5550,26700,8650,11350,-2700,5,2,3,4,1,3,4,17,4,13,0,0,0,0,3,0,2,0,2,3,0,3,0,0,0,T,CT,Tec-9,1.0,8.984375,early_01_10,ct_major,0.8767585,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
a997b20a-a1e1-4c8f-9624-8aa733a72ded,online:05964cbb-8d63-4751-9749-e72e67a4202e,online:05964cbb-8d63-4751-9749-e72e67a4202e_19,de_nuke,19,online,1,0.12533846,0.87466156,0,False,11,7,4,3750,21950,-18200,10450,16800,-6350,2,5,-3,1,5,-4,0,1,15,-14,0,2,0,0,0,0,0,0,0,0,3,-3,0,3,-3,CT,T,Knife,0.0,50.23622047244095,middle_11_20,t_major,0.87466154,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
48fb8ae5-5342-44cc-bfc5-8957068d565e,online:2e7b5b87-ad49-40d5-a783-99ee519d419b,online:2e7b5b87-ad49-40d5-a783-99ee519d419b_8,de_inferno,8,online,0,0.87342703,0.12657297,1,False,5,2,3,29100,4650,24450,12600,11300,1300,5,1,4,5,0,5,4,20,2,18,2,0,1,0,0,0,1,0,1,3,0,3,1,0,1,T,CT,Desert Eagle,1.0,23.4140625,early_01_10,ct_major,0.87342703,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
747526c1-f423-435f-8941-8064849b1c57,online:1ed468fc-dd85-4f84-9247-92be9a11af5b,online:1ed468fc-dd85-4f84-9247-92be9a11af5b_7,de_inferno,7,online,0,0.8698436,0.1301564,1,False,2,4,-2,30200,4150,26050,11850,10850,1000,5,1,4,4,0,4,3,19,5,14,2,0,2,0,0,0,1,0,1,4,0,4,0,0,0,T,CT,Tec-9,1.0,59.40944881889764,early_01_10,ct_major,0.8698436,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
8c516ddf-4403-4eaa-a17d-44a9feae80f5,lan:9337dadd-c577-4043-a280-4c3b1f70c400,lan:9337dadd-c577-4043-a280-4c3b1f70c400_11,de_mirage,11,lan,1,0.13067454,0.86932546,0,False,1,9,-8,4050,27550,-23500,14850,36050,-21200,1,5,-4,0,5,-5,0,1,15,-14,0,4,0,0,0,0,0,1,-1,0,4,-4,0,0,0,T,CT,AK-47,0.0,22.3984375,middle_11_20,t_major,0.86932546,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_after_first_kill,True
