gain_rank,feature,gain,split_count,gain_normalized,deployment_tree_count,available_tree_count
1,grenade_diff_ct,608.9074096679688,13,0.2658428451593336,213,313
2,eq_value_diff_ct,373.8890380859375,123,0.16323619006845652,213,313
3,helmet_diff_ct,365.16107177734375,20,0.15942564784300292,213,313
4,armor_diff_ct,146.04380798339844,13,0.06376125633514752,213,313
5,t_rifles,140.13108825683594,10,0.06117982242617898,213,313
6,t_helmets,98.60055541992188,1,0.04304800987955766,213,313
7,ct_eq_value,86.35720825195312,111,0.03770268776041791,213,313
8,ct_armor,71.06120300292969,22,0.03102460585435304,213,313
9,t_armor,65.45390319824219,19,0.02857651520859732,213,313
10,rifle_diff_ct,60.271331787109375,23,0.026313856703705348,213,313
11,t_eq_value,49.40050506591797,107,0.021567763194395805,213,313
12,ct_m4a1_s,19.709135055541992,24,0.008604809952389821,213,313
13,map_name_de_inferno,12.865303993225098,18,0.005616862207775842,213,313
14,score_diff_ct,12.327454566955566,43,0.005382042562823952,213,313
15,smg_diff_ct,12.184920310974121,3,0.00531981354156202,213,313
16,ct_rifles,11.78785228729248,2,0.005146457639726499,213,313
17,ct_ak47,11.406684875488281,1,0.004980043784964407,213,313
18,map_name_de_dust2,10.244007110595703,8,0.0044724303775481936,213,313
19,cash_diff_ct,10.179750442504883,5,0.00444437656313487,213,313
20,t_grenades,9.993708610534668,5,0.0043631525721892096,213,313
21,ct_m4a4,9.179844856262207,3,0.004007827850281445,213,313
22,ct_smgs,8.821745872497559,2,0.0038514854389703882,213,313
23,ct_helmets,8.195039749145508,1,0.0035778718545971355,213,313
24,map_name_de_ancient,7.881716728210449,5,0.003441078177895594,213,313
25,t_score,7.861657619476318,4,0.003432320572958335,213,313
26,map_name_de_nuke,7.6663641929626465,4,0.0033470574289712713,213,313
27,map_name_de_overpass,7.147493362426758,12,0.0031205236478582064,213,313
28,map_name_de_vertigo,6.543688774108887,1,0.0028569086431299647,213,313
29,t_ak47,6.246335983276367,1,0.002727087408118077,213,313
30,t_cash,6.124190807342529,6,0.0026737600539470294,213,313
31,ct_defuse_kits,6.033411026000977,2,0.0026341265152979598,213,313
32,ct_score,5.738327503204346,10,0.0025052960198657047,213,313
33,ct_cash,5.718587875366211,6,0.0024966778970714073,213,313
34,t_m4a4,5.298152923583984,1,0.002313120229663219,213,313
35,round_num,4.750540733337402,6,0.002074038260241188,213,313
36,map_name_de_train,4.2755608558654785,1,0.0018666668273834045,213,313
37,awp_diff_ct,3.640890121459961,1,0.0015895759740043509,213,313
38,ct_awp,3.3793439865112305,1,0.001475387564483909,213,313
39,ct_grenades,0.0,0,0.0,213,313
40,map_name_de_mirage,0.0,0,0.0,213,313
41,t_awp,0.0,0,0.0,213,313
42,t_m4a1_s,0.0,0,0.0,213,313
43,t_smgs,0.0,0,0.0,213,313
