permutation_rank,feature,auc_decrease_mean,auc_decrease_std,n_repeats
1,eq_value_diff_ct,0.07640982176424185,0.008659930340440311,20
2,ct_eq_value,0.011400164985330485,0.00297898864445906,20
3,t_eq_value,0.004556118739679721,0.0024610513167130257,20
4,helmet_diff_ct,0.0029206976193459242,0.0016226702815249916,20
5,score_diff_ct,0.0020324329093441675,0.0012941745318412543,20
6,ct_m4a1_s,0.0019055840231909482,0.0011184080703880083,20
7,map_name_de_inferno,0.0014837104053635087,0.0007561233313196647,20
8,ct_armor,0.0009235504234976266,0.0013562237943081574,20
9,t_armor,0.0008347861502623732,0.0009608906706110417,20
10,t_rifles,0.000700467773264668,0.0010712976488710172,20
11,armor_diff_ct,0.0005672205799964025,0.0007586212776080414,20
12,grenade_diff_ct,0.0003919438229786687,0.001303923554962579,20
13,rifle_diff_ct,0.0003423929369138934,0.0010552984070967652,20
14,map_name_de_ancient,0.00019560621166765934,0.0001433511523994168,20
15,map_name_de_overpass,0.00014718985890775914,0.0002745482073512337,20
16,map_name_de_nuke,0.00010562677839529022,0.0001294209645391896,20
17,t_grenades,7.954403048882064e-05,0.00016805762644959244,20
18,t_helmets,4.523735588538025e-05,0.00014117451382362497,20
19,t_m4a4,2.5478047413957094e-05,6.74374412093777e-05,20
20,ct_ak47,2.4809997346164625e-05,3.8362022244737034e-05,20
21,round_num,2.403252528450639e-05,2.9294443504879392e-05,20
22,map_name_de_train,1.6793396532366333e-05,2.4907580990167885e-05,20
23,map_name_de_vertigo,9.272074217103743e-06,9.742131089045476e-06,20
24,smg_diff_ct,7.780479669072804e-06,4.0399650967572026e-05,20
25,t_cash,6.1276316564773395e-06,7.374742600407873e-05,20
26,ct_awp,4.232903446860225e-06,2.8342212129871568e-05,20
27,t_ak47,3.5533352744421264e-06,0.00010475674848415906,20
28,ct_helmets,1.5146307571600737e-06,2.4574660348744506e-05,20
29,awp_diff_ct,6.219776493288087e-07,1.2148188131653558e-06,20
30,ct_grenades,0.0,0.0,20
31,map_name_de_mirage,0.0,0.0,20
32,t_awp,0.0,0.0,20
33,t_m4a1_s,0.0,0.0,20
34,t_smgs,0.0,0.0,20
35,ct_rifles,-3.236587397603685e-06,6.531554372385593e-05,20
36,t_score,-4.9988574040871205e-06,4.871305076361508e-05,20
37,ct_cash,-9.738557454186392e-06,3.319753689693432e-05,20
38,ct_smgs,-1.5457296396848008e-05,2.725076450537401e-05,20
39,map_name_de_dust2,-1.7628459117235984e-05,0.00025020916671613486,20
40,ct_score,-3.270565806164916e-05,9.927102482803277e-05,20
41,ct_defuse_kits,-8.310312481578652e-05,3.75955328086319e-05,20
42,ct_m4a4,-0.00010077189729911784,9.953802399673664e-05,20
43,cash_diff_ct,-0.00013818846014927445,7.916147767134926e-05,20
