importance_rank,feature,source_feature,audit_result,reason,mean_abs_shap
1,eq_value_diff_ct,eq_value_diff_ct,pass,allowed_pre_round,0.42546678
2,ct_eq_value,ct_eq_value,pass,allowed_pre_round,0.14675304
3,t_eq_value,t_eq_value,pass,allowed_pre_round,0.09583907
4,helmet_diff_ct,helmet_diff_ct,pass,allowed_pre_round,0.06952645
5,grenade_diff_ct,grenade_diff_ct,pass,allowed_pre_round,0.04690662
6,ct_m4a1_s,ct_m4a1_s,pass,allowed_pre_round,0.03657459
7,ct_armor,ct_armor,pass,allowed_pre_round,0.036168758
8,rifle_diff_ct,rifle_diff_ct,pass,allowed_pre_round,0.03392045
9,score_diff_ct,score_diff_ct,pass,allowed_pre_round,0.03251254
10,t_rifles,t_rifles,pass,allowed_pre_round,0.024745569
11,map_name_de_inferno,map_name,pass,allowed_pre_round,0.023140453
12,t_armor,t_armor,pass,allowed_pre_round,0.021522673
13,armor_diff_ct,armor_diff_ct,pass,allowed_pre_round,0.017964372
14,map_name_de_overpass,map_name,pass,allowed_pre_round,0.0076518585
15,map_name_de_dust2,map_name,pass,allowed_pre_round,0.006060516
16,map_name_de_nuke,map_name,pass,allowed_pre_round,0.0034101182
17,ct_score,ct_score,pass,allowed_pre_round,0.0027355056
18,map_name_de_ancient,map_name,pass,allowed_pre_round,0.002667459
19,t_helmets,t_helmets,pass,allowed_pre_round,0.0023834284
20,t_grenades,t_grenades,pass,allowed_pre_round,0.0020417613
