feature,group,included,reason
map_name,pre_round,True,accepted_M14_purchase_end_feature
round_num,pre_round,True,accepted_M14_purchase_end_feature
ct_score,pre_round,True,accepted_M14_purchase_end_feature
t_score,pre_round,True,accepted_M14_purchase_end_feature
score_diff_ct,pre_round,True,accepted_M14_purchase_end_feature
ct_eq_value,pre_round,True,accepted_M14_purchase_end_feature
t_eq_value,pre_round,True,accepted_M14_purchase_end_feature
eq_value_diff_ct,pre_round,True,accepted_M14_purchase_end_feature
ct_cash,pre_round,True,accepted_M14_purchase_end_feature
t_cash,pre_round,True,accepted_M14_purchase_end_feature
cash_diff_ct,pre_round,True,accepted_M14_purchase_end_feature
ct_armor,pre_round,True,accepted_M14_purchase_end_feature
t_armor,pre_round,True,accepted_M14_purchase_end_feature
armor_diff_ct,pre_round,True,accepted_M14_purchase_end_feature
ct_helmets,pre_round,True,accepted_M14_purchase_end_feature
t_helmets,pre_round,True,accepted_M14_purchase_end_feature
helmet_diff_ct,pre_round,True,accepted_M14_purchase_end_feature
ct_defuse_kits,pre_round,True,accepted_M14_purchase_end_feature
ct_grenades,pre_round,True,accepted_M14_purchase_end_feature
t_grenades,pre_round,True,accepted_M14_purchase_end_feature
grenade_diff_ct,pre_round,True,accepted_M14_purchase_end_feature
ct_ak47,pre_round,True,accepted_M14_purchase_end_feature
t_ak47,pre_round,True,accepted_M14_purchase_end_feature
ct_m4a4,pre_round,True,accepted_M14_purchase_end_feature
t_m4a4,pre_round,True,accepted_M14_purchase_end_feature
ct_m4a1_s,pre_round,True,accepted_M14_purchase_end_feature
t_m4a1_s,pre_round,True,accepted_M14_purchase_end_feature
ct_awp,pre_round,True,accepted_M14_purchase_end_feature
t_awp,pre_round,True,accepted_M14_purchase_end_feature
awp_diff_ct,pre_round,True,accepted_M14_purchase_end_feature
ct_rifles,pre_round,True,accepted_M14_purchase_end_feature
t_rifles,pre_round,True,accepted_M14_purchase_end_feature
rifle_diff_ct,pre_round,True,accepted_M14_purchase_end_feature
ct_smgs,pre_round,True,accepted_M14_purchase_end_feature
t_smgs,pre_round,True,accepted_M14_purchase_end_feature
smg_diff_ct,pre_round,True,accepted_M14_purchase_end_feature
first_kill_advantage_ct,first_kill,True,canonical_post_first_kill_signal
first_kill_time,first_kill,True,canonical_post_first_kill_signal
first_kill_headshot,first_kill,True,canonical_post_first_kill_signal
first_kill_weapon,first_kill,True,canonical_post_first_kill_signal
first_kill_is_ct,first_kill,False,deterministic_redundancy
first_death_is_ct,first_kill,False,deterministic_redundancy
ct_alive_after_fk,first_kill,False,deterministic_redundancy
t_alive_after_fk,first_kill,False,deterministic_redundancy
alive_diff_ct_after_fk,first_kill,False,deterministic_redundancy
