phase_order,phase,candidate_order,candidate_id,candidate_label,is_incumbent,changed_parameters,parameter_values,best_iteration,best_tree_count,elapsed_seconds,train_accuracy,train_log_loss,train_brier_score,train_ece10,train_auc,val_accuracy,val_log_loss,val_brier_score,val_ece10,val_auc,selected
1,tree_policy,0,tree_fixed_500,fixed_500,True,"n_estimators,early_stopping_rounds","{""early_stopping_rounds"": null, ""n_estimators"": 500}",,500,0.8653405000004568,0.758643687037102,0.49201706898155373,0.16359313733451483,0.03381647101328749,0.8412226873721678,0.7418738049713193,0.5298345739381326,0.17833417180421834,0.013798604055962694,0.8020687872017316,False
1,tree_policy,1,tree_cap_1500_es50,cap_1500_es50,False,"n_estimators,early_stopping_rounds","{""early_stopping_rounds"": 50, ""n_estimators"": 1500}",199.0,200,0.3828665999990335,0.752606269086314,0.5099535724674417,0.17056109594953286,0.015336650193759866,0.8222453115335777,0.7417543021032504,0.5282506296389512,0.17775953678662632,0.01154188585403531,0.8031354301505479,True
1,tree_policy,2,tree_cap_3000_es100,cap_3000_es100,False,"n_estimators,early_stopping_rounds","{""early_stopping_rounds"": 100, ""n_estimators"": 3000}",199.0,200,0.4493179999990389,0.752606269086314,0.5099535724674417,0.17056109594953286,0.015336650193759866,0.8222453115335777,0.7417543021032504,0.5282506296389512,0.17775953678662632,0.01154188585403531,0.8031354301505479,False
2,max_depth,0,max_depth_2,2,False,max_depth,"{""max_depth"": 2}",428.0,429,0.5881048999999621,0.7509214082628383,0.515785321009298,0.17265101097764027,0.011016175259338689,0.8166888741607021,0.7436663479923518,0.5279350077983861,0.17754303727722043,0.010562393217223812,0.8029763796852707,True
2,max_depth,1,max_depth_3,3,False,max_depth,"{""max_depth"": 3}",194.0,195,0.3562801000007312,0.7503948892555021,0.516315725184107,0.17284245812271945,0.01122111739426201,0.8160111378741922,0.7441443594646272,0.5279927951480047,0.17758663625396998,0.009208062157056229,0.8030995146032444,False
2,max_depth,2,max_depth_4,4,True,max_depth,"{""max_depth"": 4}",199.0,200,0.41205940000145347,0.752606269086314,0.5099535724674417,0.17056109594953286,0.015336650193759866,0.8222453115335777,0.7417543021032504,0.5282506296389512,0.17775953678662632,0.01154188585403531,0.8031354301505479,False
2,max_depth,3,max_depth_5,5,False,max_depth,"{""max_depth"": 5}",169.0,170,0.40028890000030515,0.7557302818631753,0.5027459440690802,0.167948269753132,0.02248630069819697,0.8291118882558708,0.7425908221797323,0.5286079010333903,0.1778737097207749,0.012187350660217068,0.8025622742861449,False
2,max_depth,4,max_depth_6,6,False,max_depth,"{""max_depth"": 6}",146.0,147,0.43805170000086946,0.760574256730668,0.4929281369332301,0.16408284800070477,0.030293996906445256,0.8386255135451958,0.7423518164435946,0.5296946471962093,0.17829253086563132,0.01178764184412901,0.8016005070322125,False
3,min_child_weight,0,min_child_weight_1,1,True,min_child_weight,"{""min_child_weight"": 1}",428.0,429,0.6537273000012647,0.7509214082628383,0.515785321009298,0.17265101097764027,0.011016175259338689,0.8166888741607021,0.7436663479923518,0.5279350077983861,0.17754303727722043,0.010562393217223812,0.8029763796852707,True
3,min_child_weight,1,min_child_weight_3,3,False,min_child_weight,"{""min_child_weight"": 3}",427.0,428,0.5994351999997889,0.7507810031942153,0.515806556751116,0.1726518431411115,0.010896553389081852,0.8166770597619566,0.7434273422562141,0.5278444349143606,0.1775146594361327,0.010540192752469316,0.8030289467253289,False
3,min_child_weight,2,min_child_weight_5,5,False,min_child_weight,"{""min_child_weight"": 5}",402.0,403,0.5910106999999698,0.7503246867211907,0.5162113865596689,0.17280699883277484,0.010330815228396807,0.81617686970359,0.7435468451242829,0.5278877124145502,0.17752061028570487,0.011276991415081487,0.8030880021056673,False
3,min_child_weight,3,min_child_weight_10,10,False,min_child_weight,"{""min_child_weight"": 10}",395.0,396,0.5506014000002324,0.7503597879883463,0.5163747996496197,0.17285122449353665,0.010739469625864704,0.8160992467697552,0.7440248565965584,0.5280486021622736,0.1775796451458641,0.011583475301769626,0.8028336361991049,False
3,min_child_weight,4,min_child_weight_20,20,False,min_child_weight,"{""min_child_weight"": 20}",317.0,318,0.4986804999989545,0.7500087753167889,0.5176179479115444,0.17328736513473902,0.010381152181054783,0.8147518540734731,0.7439053537284895,0.5281942666417736,0.1776217819438153,0.01140672783601056,0.8028540773419348,False
4,reg_lambda,0,reg_lambda_0.5,0.5,False,reg_lambda,"{""reg_lambda"": 0.5}",428.0,429,0.6328227000012703,0.750956509529994,0.5157350451391146,0.17264059005960822,0.010704472706981332,0.8166575975388863,0.7430688336520076,0.527940908360209,0.17755608014804034,0.010663932455342142,0.802901562805756,False
4,reg_lambda,1,reg_lambda_1,1,True,reg_lambda,"{""reg_lambda"": 1}",428.0,429,0.6602106999998796,0.7509214082628383,0.515785321009298,0.17265101097764027,0.011016175259338689,0.8166888741607021,0.7436663479923518,0.5279350077983861,0.17754303727722043,0.010562393217223812,0.8029763796852707,True
4,reg_lambda,2,reg_lambda_3,3,False,reg_lambda,"{""reg_lambda"": 3}",337.0,338,0.5185949000006076,0.7497630664466988,0.5172750105723609,0.1731727001162041,0.009702114744903087,0.8150992242136395,0.7441443594646272,0.5280866273436736,0.17757717706335147,0.010894403288525551,0.8029731642246007,False
4,reg_lambda,3,reg_lambda_5,5,False,reg_lambda,"{""reg_lambda"": 5}",423.0,424,0.6701286000006803,0.750675699392748,0.5161056278107399,0.17273401184182996,0.009700219776234127,0.8164224939835212,0.7429493307839388,0.5280952548386607,0.17759492090172557,0.010868271266223329,0.8026779447418491,False
4,reg_lambda,4,reg_lambda_10,10,False,reg_lambda,"{""reg_lambda"": 10}",427.0,428,0.6963278999992326,0.7502544841868791,0.5163071560953398,0.17279094387702018,0.010013458048951273,0.8162491490926368,0.7429493307839388,0.528081640028063,0.1775762911359435,0.009620673569737547,0.8028598479454584,False
5,reg_alpha,0,reg_alpha_0,0,True,reg_alpha,"{""reg_alpha"": 0}",428.0,429,0.7006039999996574,0.7509214082628383,0.515785321009298,0.17265101097764027,0.011016175259338689,0.8166888741607021,0.7436663479923518,0.5279350077983861,0.17754303727722043,0.010562393217223812,0.8029763796852707,True
5,reg_alpha,1,reg_alpha_0.05,0.05,False,reg_alpha,"{""reg_alpha"": 0.05}",395.0,396,0.6661323999996966,0.7504650917898136,0.5162664938154564,0.1728302097312501,0.010543555051819028,0.8161266225045534,0.7437858508604207,0.5279780151479226,0.1775539185431391,0.01101689179123863,0.8030053475407698,False
5,reg_alpha,2,reg_alpha_0.1,0.1,False,reg_alpha,"{""reg_alpha"": 0.1}",423.0,424,0.675222699999722,0.750816104461371,0.5158705146036172,0.17267410556703575,0.010963835370726229,0.816573632870206,0.7437858508604207,0.5278527392441325,0.17750539188243636,0.010622912150207555,0.8030921936883264,False
5,reg_alpha,3,reg_alpha_0.5,0.5,False,reg_alpha,"{""reg_alpha"": 0.5}",423.0,424,0.6598634999991191,0.7506405981255924,0.515936811360394,0.17268956732715254,0.010751943818781797,0.8165713186584298,0.7433078393881453,0.5280096390419619,0.17756131454708515,0.010283848898593058,0.8029204249277211,False
5,reg_alpha,4,reg_alpha_1,1,False,reg_alpha,"{""reg_alpha"": 1}",395.0,396,0.6550846999998612,0.7502895854540349,0.5163640666722822,0.172846199174455,0.010258324094243022,0.8161398373490519,0.7434273422562141,0.5280606672796834,0.17758020770951424,0.011481981575698302,0.8027926677850344,False
6,subsample,0,subsample_0.7,0.7,False,subsample,"{""subsample"": 0.7}",315.0,316,0.5239930000007007,0.7503948892555021,0.5174004268820281,0.17322977818872543,0.008581886760340747,0.8148307905459662,0.744263862332696,0.5282115505167931,0.17761760109919253,0.0109680365609899,0.8029182430079806,False
6,subsample,1,subsample_0.8,0.8,False,subsample,"{""subsample"": 0.8}",439.0,440,0.6843766999991203,0.7507810031942153,0.5155400606776812,0.1725715982472285,0.011367164523770904,0.8167120659396605,0.7429493307839388,0.5281863160819207,0.17762848165145656,0.011171795478550088,0.8027320046743611,False
