model,split,accuracy,log_loss,brier_score,ece10,auc
constant_train_prior,train,0.5429493022929668,0.6894533450398066,0.2481553574325474,0.0,0.5
constant_train_prior,val,0.5350835322195704,0.6908080007751016,0.2488310161058459,0.0078657700733963,0.5
constant_train_prior,test,0.5244487056567594,0.6926395479297667,0.2497445328676048,0.0185005966362075,0.5
logistic_regression,train,0.6597363438749035,0.5913677495173314,0.2052511819429743,0.0116508162759806,0.7239364033562548
logistic_regression,val,0.655727923627685,0.6002952659027538,0.2087955449653613,0.0204328900491166,0.7154997085233008
logistic_regression,test,0.6584372003835091,0.5925383368538701,0.2055083000518434,0.0086235942527998,0.7272291678952645
xgboost_frozen,train,0.6609284061426267,0.5863786362305496,0.20381180655767808,0.009196375777172859,0.7297182715033428
xgboost_frozen,val,0.6503579952267303,0.5960376041155272,0.2075754272830879,0.011285225967909969,0.718595703958588
xgboost_frozen,test,0.6474113135186961,0.5917331887919193,0.20529449849711118,0.023197745861465936,0.7271219343412749
lightgbm_baseline,train,0.6696234485660192,0.5806837592572109,0.20118413027142484,0.01626069122592721,0.7415628046308305
lightgbm_baseline,val,0.6529832935560859,0.5956209002866791,0.20741693056531296,0.007881811932651181,0.7185753830182423
lightgbm_baseline,test,0.6507670182166826,0.5914369800026945,0.20520059289240616,0.018874543992825548,0.7278463079406734
