phase_order,phase,candidate_order,candidate_id,candidate_label,is_incumbent,changed_parameter,parameter_value,best_iteration,best_tree_count,elapsed_seconds,train_accuracy,train_log_loss,train_brier_score,train_ece10,train_auc,val_accuracy,val_log_loss,val_brier_score,val_ece10,val_auc,selected
1,num_leaves,0,num_leaves_7,7,False,num_leaves,7,144,144,0.18034039999974993,0.6630320454386088,0.5852925280908233,0.20331770949221586,0.011819348854717806,0.7319747712223577,0.6496420047732697,0.5959585339881178,0.20756703088102657,0.010789968239521162,0.7184762111051477,False
1,num_leaves,1,num_leaves_15,15,True,num_leaves,15,115,115,0.2262203000000227,0.6696234485660192,0.5806837592572109,0.20118413027142484,0.01626069122592721,0.7415628046308305,0.6529832935560859,0.5956209002866791,0.20741693056531296,0.007881811932651181,0.7185753830182423,True
1,num_leaves,2,num_leaves_31,31,False,num_leaves,31,124,124,0.2715130000001409,0.68476965149709,0.5674794748032588,0.1955000932090321,0.03332852093670003,0.7676799664680453,0.6503579952267303,0.5961302516811238,0.20766250674656972,0.012478726856711189,0.7171525164994587,False
1,num_leaves,3,num_leaves_63,63,False,num_leaves,63,113,113,0.3890633999999409,0.7068228034499684,0.5497043697255032,0.18742265213888584,0.06290620752760145,0.8042156661747595,0.651909307875895,0.5977631059456986,0.2083893822254897,0.012679161532041655,0.7141042895845049,False
2,max_depth,0,max_depth_-1,-1,True,max_depth,-1,115,115,0.23015990000021702,0.6696234485660192,0.5806837592572109,0.20118413027142484,0.01626069122592721,0.7415628046308305,0.6529832935560859,0.5956209002866791,0.20741693056531296,0.007881811932651181,0.7185753830182423,True
2,max_depth,1,max_depth_3,3,False,max_depth,3,144,144,0.17076900000029127,0.6624360143047472,0.5854494902964492,0.2034974517541314,0.00999985850940528,0.7302337203917011,0.6504773269689738,0.5957132621936828,0.2074897757555599,0.010889905095646938,0.7191391889391805,False
2,max_depth,2,max_depth_4,4,False,max_depth,4,130,130,0.18550859999959357,0.6659420797980506,0.5820717139203974,0.20219673629607945,0.012964011839162735,0.7345884019524589,0.6501193317422435,0.5956189913597089,0.20747326039925906,0.01274243367048845,0.7187881232289298,False
2,max_depth,3,max_depth_5,5,False,max_depth,5,126,126,0.2038271999999779,0.6674496879601711,0.5807986627109899,0.2015482929599325,0.01307980711229414,0.7376931200208667,0.6494033412887829,0.5959990941410529,0.20760538278290894,0.013602484850197698,0.7181912600036269,False
2,max_depth,4,max_depth_6,6,False,max_depth,6,125,125,0.19805410000026313,0.6700091157702825,0.5802235401770346,0.20117515549207593,0.014694887612421654,0.7405774349156273,0.651909307875895,0.5958392491580042,0.2075387761456114,0.00850905501167176,0.7180440333597715,False
3,min_child_samples,0,min_child_samples_10,10,False,min_child_samples,10,129,129,0.25154150000025766,0.6706402075590772,0.5791724779169575,0.2007074957534641,0.015068694574800817,0.7428271804716705,0.6513126491646778,0.5955961506198242,0.2074618410117845,0.009764056140421166,0.7180808686417781,False
3,min_child_samples,1,min_child_samples_20,20,True,min_child_samples,20,115,115,0.19711820000020452,0.6696234485660192,0.5806837592572109,0.20118413027142484,0.01626069122592721,0.7415628046308305,0.6529832935560859,0.5956209002866791,0.20741693056531296,0.007881811932651181,0.7185753830182423,True
3,min_child_samples,2,min_child_samples_40,40,False,min_child_samples,40,117,117,0.2011876999999913,0.6700091157702825,0.5805937739870828,0.2011783117617256,0.015599881987964963,0.7415928008419606,0.6503579952267303,0.5958527631575194,0.20753571286238298,0.012988274586134977,0.718051360346713,False
