series_id,game_id,round_id,y_true,ct_win_probability,predicted_label,ct_win,map_name,round_num,eq_value_diff_ct,ct_eq_value,t_eq_value,rifle_diff_ct,awp_diff_ct,first_kill_side,first_death_side,first_kill_weapon,first_kill_headshot,first_kill_time,source_subset,round_stage,equipment_band,t_win_probability,correct,assigned_side_probability,predicted_side,actual_winner,pre_round_pattern,outcome_pattern,predicted_side_won_first_kill
90da2c53-5a02-4f16-8abe-f2235da5ffbd,online:478d378e-e7c1-4d64-a3f3-679ee18f27b5,online:478d378e-e7c1-4d64-a3f3-679ee18f27b5_17,0,0.9704182077374078,1,0,de_nuke,17,18150,19650,1500,3,0,CT,T,MP9,1.0,28.6953125,online,middle_11_20,ct_major,0.029581792262592166,False,0.9704182077374078,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_after_first_kill,True
63e0d98d-fd95-4698-9d12-808508005ee2,online:1f4b1506-6f45-43ee-8b4c-82961eb4bd5b,online:1f4b1506-6f45-43ee-8b4c-82961eb4bd5b_2,0,0.9691118541258893,1,0,de_vertigo,2,18850,19950,1100,1,0,CT,T,MP9,0.0,56.171875,online,early_01_10,ct_major,0.030888145874110706,False,0.9691118541258893,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_after_first_kill,True
c7f0e145-6303-40e6-9b79-ab0f825db57d,online:f6dd9383-8d0b-46b6-b255-c3747d107355,online:f6dd9383-8d0b-46b6-b255-c3747d107355_10,0,0.9556822975373945,1,0,de_mirage,10,26900,28500,1600,3,1,T,CT,Desert Eagle,1.0,52.99212598425197,online,early_01_10,ct_major,0.04431770246260547,False,0.9556822975373945,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
c7f0e145-6303-40e6-9b79-ab0f825db57d,online:f6dd9383-8d0b-46b6-b255-c3747d107355,online:f6dd9383-8d0b-46b6-b255-c3747d107355_14,0,0.9555073649151593,1,0,de_mirage,14,30700,32300,1600,3,2,T,CT,Desert Eagle,1.0,29.559055118110237,online,middle_11_20,ct_major,0.04449263508484069,False,0.9555073649151593,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
8fadbb13-3728-4211-b0eb-cd4075a60218,lan:44d5e289-b224-43ae-aaf2-3d79accc7909,lan:44d5e289-b224-43ae-aaf2-3d79accc7909_7,1,0.04569483658176441,0,1,de_nuke,7,-19600,1500,21100,-3,0,CT,T,Knife,0.0,23.070866141732285,lan,early_01_10,t_major,0.9543051634182356,False,0.9543051634182356,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
5a4c75ca-ed01-4d01-8d2c-97409a9f5113,lan:88551554-2186-4d7e-95c2-f7f22e543d9f,lan:88551554-2186-4d7e-95c2-f7f22e543d9f_12,1,0.046908844423977525,0,1,de_nuke,12,-24300,1800,26100,-3,-1,CT,T,Desert Eagle,0.0,17.606299212598426,lan,middle_11_20,t_major,0.9530911555760224,False,0.9530911555760224,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
47cef15a-cf52-476e-afba-abe0c33843f9,lan:2a99d649-c6bb-4f90-8f2c-664b7738a2d9,lan:2a99d649-c6bb-4f90-8f2c-664b7738a2d9_6,0,0.9530658161855857,1,0,de_ancient,6,29150,30750,1600,4,1,CT,T,AK-47,0.0,27.328125,lan,early_01_10,ct_major,0.046934183814414276,False,0.9530658161855857,CT,T,favored_side_major_equipment_upset,predicted_favorite_lost_after_first_kill,True
c7f0e145-6303-40e6-9b79-ab0f825db57d,online:f6dd9383-8d0b-46b6-b255-c3747d107355,online:f6dd9383-8d0b-46b6-b255-c3747d107355_23,1,0.04772390848348954,0,1,de_mirage,23,-21950,1800,23750,-3,-1,CT,T,CZ75 Auto,0.0,23.858267716535433,online,late_21_plus,t_major,0.9522760915165105,False,0.9522760915165105,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
c7f0e145-6303-40e6-9b79-ab0f825db57d,online:ba19b05b-3103-4cbd-9f57-41d222f71770,online:ba19b05b-3103-4cbd-9f57-41d222f71770_10,1,0.048530510581149204,0,1,de_inferno,10,-24200,1000,25200,-5,0,CT,T,P250,0.0,39.2265625,online,early_01_10,t_major,0.9514694894188508,False,0.9514694894188508,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_first_kill,False
0f222f22-1d61-48c7-92a7-0578174959ba,online:6f87123d-f8ab-4b80-94fb-83afdb2632f9,online:6f87123d-f8ab-4b80-94fb-83afdb2632f9_7,1,0.05402283519614498,0,1,de_mirage,7,-24600,1000,25600,-5,0,T,CT,AK-47,0.0,42.74803149606299,online,early_01_10,t_major,0.9459771648038551,False,0.9459771648038551,T,CT,favored_side_major_equipment_upset,predicted_favorite_lost_after_first_kill,True
