encoded_position,encoded_feature,source_feature,feature_group,availability,audit_result,reason,shap_rank,mean_abs_shap
1,eq_value_diff_ct,eq_value_diff_ct,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,1,0.44227361601285065
2,ct_eq_value,ct_eq_value,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,2,0.10736698719199095
3,t_eq_value,t_eq_value,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,3,0.10501395829436123
4,helmet_diff_ct,helmet_diff_ct,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,4,0.10476126036253293
5,grenade_diff_ct,grenade_diff_ct,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,5,0.06526352374120256
6,rifle_diff_ct,rifle_diff_ct,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,6,0.043106990552797216
7,ct_armor,ct_armor,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,7,0.04128201535636496
8,score_diff_ct,score_diff_ct,score,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,8,0.029448266809974553
9,ct_m4a1_s,ct_m4a1_s,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,9,0.02720929854130908
10,armor_diff_ct,armor_diff_ct,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,10,0.026840052686476077
11,t_armor,t_armor,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,11,0.020237407760482225
12,map_name_de_inferno,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,12,0.018282780322972297
13,t_cash,t_cash,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,13,0.00952160419425922
14,ct_cash,ct_cash,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,14,0.006948286025231961
15,map_name_de_overpass,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,15,0.006496982165452109
16,cash_diff_ct,cash_diff_ct,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,16,0.006007977754783977
17,map_name_de_dust2,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,17,0.004959734787844172
18,t_rifles,t_rifles,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,18,0.004957193314051593
19,t_ak47,t_ak47,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,19,0.004158608635909235
20,ct_helmets,ct_helmets,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,20,0.004101646322554995
21,ct_score,ct_score,score,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,21,0.0038938138000721234
22,ct_grenades,ct_grenades,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,22,0.003702700450714449
23,smg_diff_ct,smg_diff_ct,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,23,0.003557567553552706
24,ct_m4a4,ct_m4a4,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,24,0.003307859886541971
25,t_helmets,t_helmets,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,25,0.003269534963001075
26,t_grenades,t_grenades,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,26,0.00322708310794134
27,map_name_de_ancient,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,27,0.003130266300320263
28,round_num,round_num,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,28,0.0030269219900856646
29,ct_defuse_kits,ct_defuse_kits,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,29,0.0027273037130354123
30,t_score,t_score,score,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,30,0.0026471305787654133
31,ct_ak47,ct_ak47,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,31,0.0026320097712086506
32,map_name_de_nuke,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,32,0.002565051122504236
33,map_name_de_vertigo,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,33,0.0024758466795965954
34,ct_smgs,ct_smgs,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,34,0.001963392830448641
35,ct_rifles,ct_rifles,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,35,0.0018004728046926506
36,ct_awp,ct_awp,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,36,0.0015058939779369947
37,awp_diff_ct,awp_diff_ct,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,37,0.001463536087363548
38,t_smgs,t_smgs,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,38,0.0010337597757530338
39,t_awp,t_awp,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,39,0.0008426263655148248
40,t_m4a4,t_m4a4,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,40,0.00035569301737692084
41,map_name_de_train,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,41,0.00011133195390335593
42,map_name_de_mirage,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,42,0.0
43,t_m4a1_s,t_m4a1_s,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,43,0.0
