encoded_position,encoded_feature,source_feature,feature_group,availability,audit_result,reason
1,round_num,round_num,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
2,ct_score,ct_score,score,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
3,t_score,t_score,score,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
4,score_diff_ct,score_diff_ct,score,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
5,ct_eq_value,ct_eq_value,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
6,t_eq_value,t_eq_value,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
7,eq_value_diff_ct,eq_value_diff_ct,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
8,ct_cash,ct_cash,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
9,t_cash,t_cash,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
10,cash_diff_ct,cash_diff_ct,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
11,ct_armor,ct_armor,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
12,t_armor,t_armor,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
13,armor_diff_ct,armor_diff_ct,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
14,ct_helmets,ct_helmets,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
15,t_helmets,t_helmets,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
16,helmet_diff_ct,helmet_diff_ct,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
17,ct_defuse_kits,ct_defuse_kits,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
18,ct_grenades,ct_grenades,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
19,t_grenades,t_grenades,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
20,grenade_diff_ct,grenade_diff_ct,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
21,ct_ak47,ct_ak47,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
22,t_ak47,t_ak47,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
23,ct_m4a4,ct_m4a4,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
24,t_m4a4,t_m4a4,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
25,ct_m4a1_s,ct_m4a1_s,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
26,t_m4a1_s,t_m4a1_s,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
27,ct_awp,ct_awp,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
28,t_awp,t_awp,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
29,awp_diff_ct,awp_diff_ct,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
30,ct_rifles,ct_rifles,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
31,t_rifles,t_rifles,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
32,rifle_diff_ct,rifle_diff_ct,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
33,ct_smgs,ct_smgs,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
34,t_smgs,t_smgs,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
35,smg_diff_ct,smg_diff_ct,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
36,map_name_de_ancient,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
37,map_name_de_dust2,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
38,map_name_de_inferno,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
39,map_name_de_mirage,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
40,map_name_de_nuke,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
41,map_name_de_overpass,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
42,map_name_de_train,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
43,map_name_de_vertigo,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature
