permutation_rank,feature,baseline_auc,auc_decrease_mean,auc_decrease_std,auc_decrease_min,auc_decrease_max,n_repeats
1,eq_value_diff_ct,0.7278463079406734,0.07230823622803259,0.006270930597923063,0.0593868866839653,0.08071357883175079,20
2,helmet_diff_ct,0.7278463079406734,0.004215119493424457,0.001126497541242992,0.0020792482455622707,0.005724152451789699,20
3,ct_eq_value,0.7278463079406734,0.0030492396668778897,0.0013920789867805962,0.0011450147800317056,0.006806393561655799,20
4,ct_m4a1_s,0.7278463079406734,0.002763682817199309,0.0011129644000861774,0.0008872395986907478,0.004640874712508181,20
5,score_diff_ct,0.7278463079406734,0.0026486803016452674,0.0013431612432832688,0.0004557713997168644,0.005178309473963472,20
6,t_eq_value,0.7278463079406734,0.0026042664902399424,0.0017806211827267788,-0.0012766667158107259,0.005786465397770835,20
7,map_name_de_inferno,0.7278463079406734,0.0010480035438903633,0.0007897092878773183,-0.00031651751489059077,0.0026232483266497297,20
8,ct_armor,0.7278463079406734,0.0010423193592616008,0.0010176471307114222,-0.001259044015745836,0.0027085974818658043,20
9,t_armor,0.7278463079406734,0.000808951041605177,0.0008616788976229371,-0.00044194967417598985,0.002846584375184258,20
10,armor_diff_ct,0.7278463079406734,0.0005591406296071632,0.0007738936866014007,-0.000969594046706379,0.0020602433729431935,20
11,rifle_diff_ct,0.7278463079406734,0.0004882985271568608,0.0012778442524797433,-0.0018797546735862536,0.0032202316889778926,20
12,map_name_de_overpass,0.7278463079406734,0.0004533986701656445,0.0004996292061966572,-0.0003013136167955288,0.0016450157014802347,20
13,ct_helmets,0.7278463079406734,0.0003605973012619446,0.0002456968014359751,-6.72657309666036e-05,0.0008529156469303523,20
14,grenade_diff_ct,0.7278463079406734,0.0002881311460605551,0.0009185814989787045,-0.0018249284956065592,0.0018107612269269158,20
15,map_name_de_ancient,0.7278463079406734,0.0001964182380431889,0.00018402632258082382,-0.00019857212360685494,0.0006621758344635964,20
16,t_grenades,0.7278463079406734,0.0001914827302145927,0.000228187113534578,-0.00033264286135537,0.0006257786238721419,20
17,map_name_de_dust2,0.7278463079406734,0.00018293629658837075,0.0002609065713884523,-0.0005815491021408103,0.0004738548239664464,20
18,t_rifles,0.7278463079406734,0.00017678562872259774,0.0002947098610849937,-0.00029924035796424775,0.001034095432564719,20
19,t_helmets,0.7278463079406734,0.00011064291295623808,9.48370924316123e-05,-3.754902105335134e-05,0.00024752406823136397,20
20,ct_rifles,0.7278463079406734,8.693865365329567e-05,9.564380933538353e-05,-6.127631656549504e-05,0.00024176501592254596,20
21,t_ak47,0.7278463079406734,7.838646097476642e-05,0.00020607729617340607,-0.0002741308898981387,0.0004396460532523072,20
22,round_num,0.7278463079406734,7.606556289432853e-05,0.00014951266198217204,-0.00019788103732976126,0.00040820162764632073,20
23,ct_cash,0.7278463079406734,5.972713149429709e-05,0.0003526422484635101,-0.0005165869920977784,0.0007904875199032935,20
24,t_awp,0.7278463079406734,2.801203042983036e-05,3.562439342080374e-05,-3.478467594519863e-05,0.0001041236657426392,20
25,t_m4a4,0.7278463079406734,1.933889765282637e-05,7.632629046793268e-05,-0.000138562798549291,0.0001754207333253266,20
26,ct_m4a4,0.7278463079406734,1.6695492643115096e-05,0.00026259923467638946,-0.0004917078861237378,0.0005873081544494063,20
27,ct_ak47,0.7278463079406734,1.3712303547147586e-05,8.98910362797844e-05,-0.00021550373739465112,0.00020640443474673198,20
28,map_name_de_mirage,0.7278463079406734,0.0,0.0,0.0,0.0,20
29,t_m4a1_s,0.7278463079406734,0.0,0.0,0.0,0.0,20
30,map_name_de_train,0.7278463079406734,-2.148126511258841e-06,2.2099383048777818e-06,-7.601949047586487e-06,1.2669915079310812e-06,20
31,t_smgs,0.7278463079406734,-2.3496933420630306e-06,6.872487706172907e-05,-0.00013257338414818243,0.00010884608863603873,20
32,awp_diff_ct,0.7278463079406734,-1.1287742525278865e-05,0.00010976045429071557,-0.0002689477428201581,0.00019845694256048763,20
33,ct_awp,0.7278463079406734,-2.2707943253569285e-05,0.00011543009939099374,-0.00022437267795005766,0.00013073048740930293,20
34,ct_score,0.7278463079406734,-2.3162908385976343e-05,0.00016960529275260617,-0.00028484272719242476,0.0004449443813763221,20
35,ct_smgs,0.7278463079406734,-2.9520902134894113e-05,0.00012936716040412455,-0.00032239174824555406,0.00015929538686076938,20
36,ct_grenades,0.7278463079406734,-3.0344446615010456e-05,0.00023814148694679377,-0.0004490908990387732,0.00038366806481093807,20
37,cash_diff_ct,0.7278463079406734,-3.398992672652979e-05,0.0003444046947779974,-0.0005746382393703175,0.0006203651147018707,20
38,map_name_de_nuke,0.7278463079406734,-4.6089695627254955e-05,0.00024581630405210944,-0.00041695538715580405,0.0003336794907706775,20
39,smg_diff_ct,0.7278463079406734,-0.0001395015240757136,0.00016940516930162436,-0.0004313530179278491,0.00016966168101650858,20
40,t_score,0.7278463079406734,-0.00015418134841074237,0.00020318698985199952,-0.000520963871852409,0.0001951166922213865,20
41,t_cash,0.7278463079406734,-0.00016592405606835614,0.0004831294546702376,-0.0010741784366339324,0.0005281050967151923,20
42,map_name_de_vertigo,0.7278463079406734,-0.00027515024215671866,0.00012316483430130102,-0.0005125556554815835,-7.452213687575426e-05,20
43,ct_defuse_kits,0.7278463079406734,-0.00028014334050841525,0.00017703787515383325,-0.0007005311228402977,0.00013936906587241893,20
