encoded_position,encoded_feature,source_feature,feature_group,availability,audit_result,reason,shap_rank,mean_abs_shap
1,eq_value_diff_ct,eq_value_diff_ct,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,1,0.44227361601285065
2,ct_eq_value,ct_eq_value,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,2,0.10736698719199095
3,t_eq_value,t_eq_value,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,3,0.10501395829436123
4,helmet_diff_ct,helmet_diff_ct,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,4,0.10476126036253293
5,grenade_diff_ct,grenade_diff_ct,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,5,0.06526352374120256
6,rifle_diff_ct,rifle_diff_ct,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,6,0.043106990552797216
7,ct_armor,ct_armor,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,7,0.04128201535636496
8,score_diff_ct,score_diff_ct,score,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,8,0.029448266809974553
9,ct_m4a1_s,ct_m4a1_s,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,9,0.02720929854130908
10,armor_diff_ct,armor_diff_ct,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,10,0.026840052686476077
11,t_armor,t_armor,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,11,0.020237407760482225
12,map_name_de_inferno,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,12,0.018282780322972297
13,t_cash,t_cash,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,13,0.00952160419425922
14,ct_cash,ct_cash,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,14,0.006948286025231961
15,map_name_de_overpass,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,15,0.006496982165452109
16,cash_diff_ct,cash_diff_ct,economy,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,16,0.006007977754783977
17,map_name_de_dust2,map_name,context,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,17,0.004959734787844172
18,t_rifles,t_rifles,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,18,0.004957193314051593
19,t_ak47,t_ak47,weapons,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,19,0.004158608635909235
20,ct_helmets,ct_helmets,armor_utility,purchase_end_pre_combat,pass,accepted_m14_purchase_end_feature,20,0.004101646322554995
