feature,lightgbm_gain_rank,lightgbm_permutation_rank,lightgbm_shap_rank,lightgbm_mean_rank,xgboost_gain_rank,xgboost_permutation_rank,xgboost_shap_rank,xgboost_mean_rank,gain_rank_difference_lgbm_minus_xgb,permutation_rank_difference_lgbm_minus_xgb,shap_rank_difference_lgbm_minus_xgb,mean_rank_difference_lgbm_minus_xgb
eq_value_diff_ct,1,1,1,1.0,2,1,1,1.3333333333333333,-1,0,0,-0.33333333333333326
helmet_diff_ct,2,2,4,2.6666666666666665,3,4,4,3.6666666666666665,-1,-2,0,-1.0
ct_eq_value,4,3,2,3.0,7,2,2,3.6666666666666665,-3,1,0,-0.6666666666666665
t_eq_value,5,6,3,4.666666666666667,11,3,3,5.666666666666667,-6,3,0,-1.0
grenade_diff_ct,3,14,5,7.333333333333333,1,12,5,6.0,2,2,0,1.333333333333333
score_diff_ct,9,5,8,7.333333333333333,14,5,9,9.333333333333334,-5,0,-1,-2.000000000000001
ct_armor,8,8,7,7.666666666666667,8,8,7,7.666666666666667,0,0,0,0.0
rifle_diff_ct,7,11,6,8.0,10,13,8,10.333333333333334,-3,-2,-2,-2.333333333333334
armor_diff_ct,6,10,10,8.666666666666666,4,11,13,9.333333333333334,2,-1,-3,-0.6666666666666679
ct_m4a1_s,14,4,9,9.0,12,6,6,8.0,2,-2,3,1.0
t_armor,10,9,11,10.0,9,9,12,10.0,1,0,-1,0.0
map_name_de_inferno,17,7,12,12.0,13,7,11,10.333333333333334,4,0,1,1.666666666666666
ct_cash,13,23,14,16.666666666666668,33,37,31,33.666666666666664,-20,-14,-17,-16.999999999999996
map_name_de_overpass,25,12,15,17.333333333333332,27,15,14,18.666666666666668,-2,-3,1,-1.3333333333333357
t_rifles,18,18,18,18.0,5,10,10,8.333333333333334,13,8,8,9.666666666666666
ct_helmets,26,13,20,19.666666666666668,23,28,33,28.0,3,-15,-13,-8.333333333333332
t_grenades,20,16,26,20.666666666666668,20,17,20,19.0,0,-1,6,1.6666666666666679
cash_diff_ct,11,37,16,21.333333333333332,19,43,23,28.333333333333332,-8,-6,-7,-7.0
map_name_de_dust2,31,17,17,21.666666666666668,18,39,15,24.0,13,-22,2,-2.333333333333332
round_num,15,22,28,21.666666666666668,35,21,27,27.666666666666668,-20,1,1,-6.0
t_helmets,21,19,25,21.666666666666668,6,18,19,14.333333333333334,15,1,6,7.333333333333334
t_cash,12,41,13,22.0,30,25,22,25.666666666666668,-18,16,-9,-3.666666666666668
t_ak47,28,21,19,22.666666666666668,29,27,26,27.333333333333332,-1,-6,-7,-4.666666666666664
ct_grenades,16,36,22,24.666666666666668,39,30,39,36.0,-23,6,-17,-11.333333333333332
ct_m4a4,24,26,24,24.666666666666668,21,42,25,29.333333333333332,3,-16,-1,-4.666666666666664
map_name_de_ancient,32,15,27,24.666666666666668,24,14,18,18.666666666666668,8,1,9,6.0
ct_score,22,34,21,25.666666666666668,32,40,17,29.666666666666668,-10,-6,4,-4.0
smg_diff_ct,23,39,23,28.333333333333332,15,24,24,21.0,8,15,-1,7.333333333333332
ct_rifles,34,20,35,29.666666666666668,16,35,21,24.0,18,-15,14,5.666666666666668
t_score,19,40,30,29.666666666666668,25,36,28,29.666666666666668,-6,4,2,0.0
ct_ak47,33,27,31,30.333333333333332,17,20,30,22.333333333333332,16,7,1,8.0
ct_smgs,29,35,34,32.666666666666664,22,38,29,29.666666666666668,7,-3,5,2.9999999999999964
ct_defuse_kits,27,43,29,33.0,31,41,32,34.666666666666664,-4,2,-3,-1.6666666666666643
t_awp,39,24,39,34.0,41,32,41,38.0,-2,-8,-2,-4.0
awp_diff_ct,35,32,37,34.666666666666664,37,29,36,34.0,-2,3,1,0.6666666666666643
map_name_de_vertigo,30,42,33,35.0,28,23,35,28.666666666666668,2,19,-2,6.333333333333332
t_m4a4,40,25,40,35.0,34,19,38,30.333333333333332,6,6,2,4.666666666666668
t_smgs,36,31,38,35.0,43,34,43,40.0,-7,-3,-5,-5.0
ct_awp,38,33,36,35.666666666666664,38,26,37,33.666666666666664,0,7,-1,2.0
map_name_de_nuke,37,38,32,35.666666666666664,26,16,16,19.333333333333332,11,22,16,16.333333333333332
map_name_de_mirage,42,28,42,37.333333333333336,40,31,40,37.0,2,-3,2,0.3333333333333357
map_name_de_train,41,30,41,37.333333333333336,36,22,34,30.666666666666668,5,8,7,6.666666666666668
t_m4a1_s,43,29,43,38.333333333333336,42,33,42,39.0,1,-4,1,-0.6666666666666643
