method,bin,lower_bound,upper_bound,count,mean_probability,observed_ct_win_rate,absolute_gap
uncalibrated,1,0.0,0.1,258,0.052144397354001885,0.04263565891472868,0.009508738439273204
uncalibrated,2,0.1,0.2,293,0.14722116281483355,0.10238907849829351,0.04483208431654004
uncalibrated,3,0.2,0.3,397,0.265128005768202,0.25692695214105793,0.008201053627144073
uncalibrated,4,0.3,0.4,824,0.34133785645035164,0.345873786407767,0.004535929957415363
uncalibrated,5,0.4,0.5,176,0.44585339239633986,0.5170454545454546,0.07119206214911472
uncalibrated,6,0.5,0.6,128,0.5458697548998381,0.5546875,0.008817745100161867
uncalibrated,7,0.6,0.7,473,0.6709818708942292,0.6701902748414377,0.0007915960527915544
uncalibrated,8,0.7,0.8,1065,0.7371905461058228,0.7230046948356808,0.014185851270142047
uncalibrated,9,0.8,0.9,283,0.8550838733831643,0.8621908127208481,0.007106939337683804
uncalibrated,10,0.9,1.0,273,0.9580906764631942,0.978021978021978,0.019931301558783754
sigmoid,1,0.0,0.1,267,0.051293663555982784,0.0449438202247191,0.006349843331263684
sigmoid,2,0.1,0.2,300,0.14564176259073047,0.10666666666666667,0.0389750959240638
sigmoid,3,0.2,0.3,468,0.26590596545521056,0.27564102564102566,0.009735060185815103
sigmoid,4,0.3,0.4,765,0.3384862478871368,0.3477124183006536,0.009226170413516754
sigmoid,5,0.4,0.5,167,0.4497110256934281,0.5269461077844312,0.0772350820910031
sigmoid,6,0.5,0.6,118,0.5476625938112898,0.576271186440678,0.028608592629388196
sigmoid,7,0.6,0.7,564,0.6701962720214518,0.6684397163120568,0.0017565557093950357
sigmoid,8,0.7,0.8,976,0.7348488982043958,0.7315573770491803,0.003291521155215471
sigmoid,9,0.8,0.9,277,0.8543461410526757,0.8628158844765343,0.008469743423858644
sigmoid,10,0.9,1.0,268,0.9582197129264242,0.9813432835820896,0.023123570655665393
isotonic,1,0.0,0.1,239,0.012271368205240636,0.04184100418410042,0.029569635978859782
isotonic,2,0.1,0.2,300,0.13380071400330598,0.09333333333333334,0.040467380669972644
isotonic,3,0.2,0.3,643,0.2751383417391331,0.2846034214618974,0.00946507972276428
isotonic,4,0.3,0.4,664,0.3535189827529487,0.3614457831325301,0.007926800379581433
isotonic,5,0.4,0.5,101,0.494851348488886,0.5742574257425742,0.0794060772536882
isotonic,6,0.5,0.6,100,0.5569471639066844,0.49,0.06694716390668443
isotonic,7,0.6,0.7,490,0.6486038250933828,0.6795918367346939,0.030988011641311153
isotonic,8,0.7,0.8,1229,0.7408623633060313,0.7363710333604556,0.004491329945575662
isotonic,9,0.8,0.9,82,0.8748051647684078,0.8536585365853658,0.021146628183041916
isotonic,10,0.9,1.0,322,0.9505342653759675,0.968944099378882,0.018409834002914516
