dimension,value,cases,share
signal_pattern,first_kill_and_equipment_agree,78,0.9069767441860465
signal_pattern,equipment_only,8,0.09302325581395349
predicted_side,CT,45,0.5232558139534884
predicted_side,T,41,0.47674418604651164
first_kill_side,CT,49,0.5697674418604651
first_kill_side,T,37,0.43023255813953487
first_kill_time_band,normal_15_30,40,0.46511627906976744
first_kill_time_band,late_30_60,22,0.2558139534883721
first_kill_time_band,fast_00_15,21,0.2441860465116279
first_kill_time_band,very_late_60_plus,3,0.03488372093023256
first_kill_weapon_family,rifle,56,0.6511627906976745
first_kill_weapon_family,sniper,13,0.1511627906976744
first_kill_weapon_family,smg_shotgun,8,0.09302325581395349
first_kill_weapon_family,pistol,7,0.08139534883720931
first_kill_weapon_family,utility_other,2,0.023255813953488372
first_kill_headshot_label,non_headshot,53,0.6162790697674418
first_kill_headshot_label,headshot,33,0.38372093023255816
