importance_rank,encoded_feature,source_feature,feature_group,availability,audit_result,reason,shap_rank,mean_abs_shap
1,first_kill_advantage_ct,first_kill_advantage_ct,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,1,0.8863421602339572
2,eq_value_diff_ct,eq_value_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,2,0.35073431694446383
3,ct_eq_value,ct_eq_value,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,3,0.12518524302039785
4,t_eq_value,t_eq_value,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,4,0.10392917852488334
5,helmet_diff_ct,helmet_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,5,0.08113230120101983
6,rifle_diff_ct,rifle_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,6,0.059652231039834476
7,ct_armor,ct_armor,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,7,0.05200532534182431
8,grenade_diff_ct,grenade_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,8,0.04586388227602029
9,armor_diff_ct,armor_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,9,0.037516032654606735
10,first_kill_weapon_AK-47,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,10,0.035144723506407675
11,score_diff_ct,score_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,11,0.03164931761324133
12,map_name_de_inferno,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,12,0.028806711549626555
13,ct_m4a1_s,ct_m4a1_s,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,13,0.028396507878360164
14,first_kill_time,first_kill_time,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,14,0.025324343879062506
15,t_armor,t_armor,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,15,0.023036103839120296
16,smg_diff_ct,smg_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,16,0.018446063386957763
17,map_name_de_overpass,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,17,0.015152978239616251
18,t_grenades,t_grenades,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,18,0.010571856045227106
19,ct_grenades,ct_grenades,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,19,0.009533353147889438
20,cash_diff_ct,cash_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,20,0.00735247212428506
21,map_name_de_dust2,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,21,0.006725411906611306
22,t_score,t_score,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,22,0.006430228079550924
23,ct_cash,ct_cash,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,23,0.005705754182872951
24,t_cash,t_cash,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,24,0.00507455124509569
25,ct_m4a4,ct_m4a4,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,25,0.0042362468604100955
26,t_rifles,t_rifles,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,26,0.004050958716042621
27,first_kill_headshot,first_kill_headshot,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,27,0.003944406097209401
28,ct_helmets,ct_helmets,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,28,0.0036117698166204
29,ct_ak47,ct_ak47,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,29,0.003078596936566016
30,t_ak47,t_ak47,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,30,0.0028649247224197755
31,ct_rifles,ct_rifles,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,31,0.0026480359011499207
32,ct_score,ct_score,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,32,0.0025713461881601007
33,first_kill_weapon_M4A1,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,33,0.0015146660178551059
34,ct_defuse_kits,ct_defuse_kits,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,34,0.001453718167157804
35,first_kill_weapon_USP-S,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,35,0.0014458364036800454
36,ct_smgs,ct_smgs,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,36,0.0013384033617866876
37,round_num,round_num,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,37,0.0012414391412169281
38,map_name_de_ancient,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,38,0.00115653492369414
39,t_helmets,t_helmets,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,39,0.0011247259971400884
40,map_name_de_train,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,40,0.0010862227774385764
41,map_name_de_mirage,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,41,0.0008893949922407493
42,map_name_de_nuke,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,42,0.0006893203987581064
43,first_kill_weapon_AWP,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,43,0.0006103857828986249
44,first_kill_weapon_Galil AR,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,44,0.0005962030758905932
45,first_kill_weapon_Desert Eagle,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,45,0.0005453390643860084
46,awp_diff_ct,awp_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,46,0.0005088684551312662
47,t_smgs,t_smgs,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,47,0.0002218548847212706
48,t_m4a4,t_m4a4,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,48,0.0001762649742551176
49,first_kill_weapon_P250,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,49,0.00015021903006926497
50,t_m4a1_s,t_m4a1_s,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,50,0.000131001335234246
51,first_kill_weapon_Incendiary Grenade,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,51,0.00012795801450976162
52,t_awp,t_awp,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,52,8.57159353752422e-05
53,first_kill_weapon_Glock-18,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,53,5.672624038100444e-05
54,ct_awp,ct_awp,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,54,0.0
55,first_kill_weapon_AUG,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,55,0.0
56,first_kill_weapon_CZ75 Auto,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,56,0.0
57,first_kill_weapon_Dual Berettas,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,57,0.0
58,first_kill_weapon_FAMAS,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,58,0.0
59,first_kill_weapon_Five-SeveN,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,59,0.0
60,first_kill_weapon_G3SG1,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,60,0.0
61,first_kill_weapon_HE Grenade,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,61,0.0
62,first_kill_weapon_Knife,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,62,0.0
63,first_kill_weapon_M4A4,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,63,0.0
64,first_kill_weapon_MAC-10,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,64,0.0
65,first_kill_weapon_MAG-7,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,65,0.0
66,first_kill_weapon_MP5-SD,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,66,0.0
67,first_kill_weapon_MP7,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,67,0.0
68,first_kill_weapon_MP9,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,68,0.0
69,first_kill_weapon_Molotov,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,69,0.0
70,first_kill_weapon_Negev,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,70,0.0
71,first_kill_weapon_Nova,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,71,0.0
72,first_kill_weapon_P2000,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,72,0.0
73,first_kill_weapon_P90,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,73,0.0
74,first_kill_weapon_PP-Bizon,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,74,0.0
75,first_kill_weapon_SCAR-20,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,75,0.0
76,first_kill_weapon_SG 553,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,76,0.0
77,first_kill_weapon_SSG 08,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,77,0.0
78,first_kill_weapon_Tec-9,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,78,0.0
79,first_kill_weapon_UMP-45,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,79,0.0
80,first_kill_weapon_XM1014,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,80,0.0
81,first_kill_weapon_Zeus x27,first_kill_weapon,first_kill_event,first_valid_enemy_kill,pass,allowed_first_kill_event,81,0.0
82,map_name_de_vertigo,map_name,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end,82,0.0
