importance_rank,encoded_feature,source_feature,feature_group,availability,audit_result,reason
1,round_num,round_num,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
2,ct_score,ct_score,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
3,t_score,t_score,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
4,score_diff_ct,score_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
5,ct_eq_value,ct_eq_value,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
6,t_eq_value,t_eq_value,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
7,eq_value_diff_ct,eq_value_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
8,ct_cash,ct_cash,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
9,t_cash,t_cash,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
10,cash_diff_ct,cash_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
11,ct_armor,ct_armor,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
12,t_armor,t_armor,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
13,armor_diff_ct,armor_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
14,ct_helmets,ct_helmets,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
15,t_helmets,t_helmets,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
16,helmet_diff_ct,helmet_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
17,ct_defuse_kits,ct_defuse_kits,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
18,ct_grenades,ct_grenades,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
19,t_grenades,t_grenades,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
20,grenade_diff_ct,grenade_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
21,ct_ak47,ct_ak47,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
22,t_ak47,t_ak47,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
23,ct_m4a4,ct_m4a4,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
24,t_m4a4,t_m4a4,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
25,ct_m4a1_s,ct_m4a1_s,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
26,t_m4a1_s,t_m4a1_s,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
27,ct_awp,ct_awp,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
28,t_awp,t_awp,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
29,awp_diff_ct,awp_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
30,ct_rifles,ct_rifles,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
31,t_rifles,t_rifles,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
32,rifle_diff_ct,rifle_diff_ct,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
33,ct_smgs,ct_smgs,purchase_end,purchase_end_pre_combat,pass,allowed_purchase_end
