source_feature,feature_group,encoded_column_count,gain_normalized,split_count,mean_abs_shap,grouped_auc_decrease_mean,grouped_auc_decrease_std,source_gain_rank,source_shap_rank,source_permutation_rank,mean_rank
first_kill_advantage_ct,first_kill_event,1,0.5421277595721532,122,0.8863421602339572,0.12908128711419226,0.005079855773632879,1,1,1,1.0
eq_value_diff_ct,purchase_end,1,0.22433221747073437,205,0.35073431694446383,0.025299703732126616,0.0035819744321210108,2,2,2,2.0
ct_eq_value,purchase_end,1,0.03998174563853862,182,0.12518524302039785,0.005916594874897823,0.001010825774123639,3,3,3,3.0
t_eq_value,purchase_end,1,0.02718079908770196,165,0.10392917852488334,0.0014606550360926397,0.0010341300276005474,6,4,4,4.666666666666667
helmet_diff_ct,purchase_end,1,0.03767842726216731,39,0.08113230120101983,0.0007475010468992293,0.0010294664416940322,4,5,6,5.0
rifle_diff_ct,purchase_end,1,0.017946152412053308,38,0.059652231039834476,0.0006769448805243438,0.0009680712090300463,7,6,8,7.0
map_name,purchase_end,8,0.004701522144086493,70,0.054506574787985686,0.001437710878712789,0.0005824472884203988,12,7,5,8.0
armor_diff_ct,purchase_end,1,0.014523834136688165,43,0.037516032654606735,0.00046092967419754106,0.0005504957701742872,9,11,10,10.0
ct_armor,purchase_end,1,0.013129155238443057,59,0.05200532534182431,0.00030621802806608535,0.0005211331859365621,10,8,12,10.0
grenade_diff_ct,purchase_end,1,0.029650341895834882,53,0.04586388227602029,9.215134565753735e-05,0.000924197923595893,5,9,16,10.0
score_diff_ct,purchase_end,1,0.003586115275523229,56,0.03164931761324133,0.0007457715878002203,0.00044710064557446804,14,12,7,11.0
ct_m4a1_s,purchase_end,1,0.002304656382321138,25,0.028396507878360164,0.0005488380801989601,0.00037157431062645766,15,13,9,12.333333333333334
first_kill_time,first_kill_event,1,0.003982715939529821,71,0.025324343879062506,0.00042795465404361075,0.0004579670696074566,13,14,11,12.666666666666666
ct_grenades,purchase_end,1,0.0019266112185532722,19,0.009533353147889438,0.0002724647513176026,0.00013614290737185418,16,18,13,15.666666666666666
t_armor,purchase_end,1,0.005734742912926504,21,0.023036103839120296,2.272509256063815e-05,0.00035420043116713454,11,15,23,16.333333333333332
smg_diff_ct,purchase_end,1,0.0018521936259612826,22,0.018446063386957763,5.963751459661104e-05,0.00030390880806669264,17,16,18,17.0
t_grenades,purchase_end,1,0.0018456470559090284,19,0.010571856045227106,8.058126428533985e-05,0.0001729968172975572,18,17,17,17.333333333333332
t_cash,purchase_end,1,0.0016515942139614396,38,0.00507455124509569,0.00010302387852644812,0.00010271460944141378,20,22,15,19.0
first_kill_weapon,first_kill_event,36,0.016802901541269278,34,0.04019205713607808,-0.000568588503109363,0.0006563904201329477,8,10,40,19.333333333333332
ct_helmets,purchase_end,1,0.00044925705748155185,4,0.0036117698166204,5.2183545880007956e-05,6.364973831038111e-05,26,26,19,23.666666666666668
ct_smgs,purchase_end,1,0.00048299277131916746,10,0.0013384033617866876,0.00010402696480389384,5.3958592668271936e-05,25,32,14,23.666666666666668
t_score,purchase_end,1,0.000964950700264815,20,0.006430228079550924,-8.589646858681021e-07,0.000132725904651786,22,20,29,23.666666666666668
ct_cash,purchase_end,1,0.0014861525434256857,32,0.005705754182872951,-1.1460548962605176e-05,0.00011266251331589646,21,21,33,25.0
cash_diff_ct,purchase_end,1,0.0016979773426767015,32,0.00735247212428506,-0.00024970506957499027,0.00017017185375006464,19,19,39,25.666666666666668
