variant,removed_features,split,feature_count_after_encoding,accuracy,log_loss,auc,test_auc_change_vs_all
all_features,none,train,43,0.6871888366874693,0.5626373765538168,0.7661785806832148,0.0
all_features,none,val,43,0.6495226730310263,0.5987446097568325,0.7136748880802746,0.0
all_features,none,test,43,0.6517257909875359,0.5940847894070027,0.724085992326178,0.0
without_score,"ct_score,t_score,score_diff_ct",train,40,0.6832269826800365,0.5635949478814748,0.765809100476464,-0.0036708199416169984
without_score,"ct_score,t_score,score_diff_ct",val,40,0.6471360381861575,0.5983282345064617,0.7150775481428836,-0.0036708199416169984
without_score,"ct_score,t_score,score_diff_ct",test,40,0.649568552253116,0.5951891940284794,0.720415172384561,-0.0036708199416169984
without_economy,"ct_eq_value,t_eq_value,eq_value_diff_ct,ct_cash,t_cash,cash_diff_ct",train,37,0.6808077974896571,0.5695517469259086,0.7556952801245378,0.002346698634782207
without_economy,"ct_eq_value,t_eq_value,eq_value_diff_ct,ct_cash,t_cash,cash_diff_ct",val,37,0.649164677804296,0.5996467114154048,0.715752003015055,0.002346698634782207
without_economy,"ct_eq_value,t_eq_value,eq_value_diff_ct,ct_cash,t_cash,cash_diff_ct",test,37,0.6514860977948226,0.5927131659799004,0.7264326909609602,0.002346698634782207
without_weapons,"ct_ak47,t_ak47,ct_m4a4,t_m4a4,ct_m4a1_s,t_m4a1_s,ct_awp,t_awp,awp_diff_ct,ct_rifles,t_rifles,rifle_diff_ct,ct_smgs,t_smgs,smg_diff_ct",train,28,0.6841034990533623,0.5642759694092397,0.7659813303938582,-0.002965451214837489
without_weapons,"ct_ak47,t_ak47,ct_m4a4,t_m4a4,ct_m4a1_s,t_m4a1_s,ct_awp,t_awp,awp_diff_ct,ct_rifles,t_rifles,rifle_diff_ct,ct_smgs,t_smgs,smg_diff_ct",val,28,0.6477326968973747,0.5995162427670965,0.713624829876522,-0.002965451214837489
without_weapons,"ct_ak47,t_ak47,ct_m4a4,t_m4a4,ct_m4a1_s,t_m4a1_s,ct_awp,t_awp,awp_diff_ct,ct_rifles,t_rifles,rifle_diff_ct,ct_smgs,t_smgs,smg_diff_ct",test,28,0.6459731543624161,0.5952550587507109,0.7211205411113405,-0.002965451214837489
without_map,map_name,train,35,0.6836126498842998,0.5640547522504692,0.7648814495048968,-0.002640986207760765
without_map,map_name,val,35,0.6468973747016706,0.5991891858155795,0.7135203916915632,-0.002640986207760765
without_map,map_name,test,35,0.6481303930968361,0.5947587501122539,0.7214450061184172,-0.002640986207760765
without_cash,"ct_cash,t_cash,cash_diff_ct",train,40,0.6814388892784518,0.5656136335680524,0.7598763868795646,-0.0010335195273338815
without_cash,"ct_cash,t_cash,cash_diff_ct",val,40,0.6488066825775657,0.5987189037727233,0.7149776320826777,-0.0010335195273338815
without_cash,"ct_cash,t_cash,cash_diff_ct",test,40,0.6462128475551294,0.5939814903690819,0.7230524727988441,-0.0010335195273338815
without_equipment_value,"ct_eq_value,t_eq_value,eq_value_diff_ct",train,40,0.6851202580464203,0.5656227348943174,0.7630267717088357,-0.0013788323037683403
without_equipment_value,"ct_eq_value,t_eq_value,eq_value_diff_ct",val,40,0.649164677804296,0.5994967134593521,0.7139349961166969,-0.0013788323037683403
without_equipment_value,"ct_eq_value,t_eq_value,eq_value_diff_ct",test,40,0.6481303930968361,0.5945112503136794,0.7227071600224096,-0.0013788323037683403
without_armor_utility,"ct_armor,t_armor,armor_diff_ct,ct_helmets,t_helmets,helmet_diff_ct,ct_defuse_kits,ct_grenades,t_grenades,grenade_diff_ct",train,33,0.6852605006661524,0.5637534256156684,0.7667023688699692,-0.0010010384723122545
without_armor_utility,"ct_armor,t_armor,armor_diff_ct,ct_helmets,t_helmets,helmet_diff_ct,ct_defuse_kits,ct_grenades,t_grenades,grenade_diff_ct",val,33,0.6525059665871121,0.5988162520490828,0.7140684274179515,-0.0010010384723122545
without_armor_utility,"ct_armor,t_armor,armor_diff_ct,ct_helmets,t_helmets,helmet_diff_ct,ct_defuse_kits,ct_grenades,t_grenades,grenade_diff_ct",test,33,0.6447746883988494,0.5945411839339932,0.7230849538538657,-0.0010010384723122545
without_differences,"score_diff_ct,eq_value_diff_ct,cash_diff_ct,armor_diff_ct,helmet_diff_ct,grenade_diff_ct,awp_diff_ct,rifle_diff_ct,smg_diff_ct",train,34,0.6866278662085408,0.56493463369812,0.7665702948910649,-0.0022842705077549263
without_differences,"score_diff_ct,eq_value_diff_ct,cash_diff_ct,armor_diff_ct,helmet_diff_ct,grenade_diff_ct,awp_diff_ct,rifle_diff_ct,smg_diff_ct",val,34,0.6514319809069212,0.5973751619908488,0.7144318574186659,-0.0022842705077549263
without_differences,"score_diff_ct,eq_value_diff_ct,cash_diff_ct,armor_diff_ct,helmet_diff_ct,grenade_diff_ct,awp_diff_ct,rifle_diff_ct,smg_diff_ct",test,34,0.6512464046021093,0.5941684195466642,0.7218017218184231,-0.0022842705077549263
