feature,importance
eq_value_diff_ct,0.2631622
helmet_diff_ct,0.21806486
ct_armor,0.07639809
t_armor,0.036570396
ct_eq_value,0.03159031
armor_diff_ct,0.025350703
rifle_diff_ct,0.018175254
t_eq_value,0.017826963
t_rifles,0.014778482
ct_m4a1_s,0.014279103
map_name_de_inferno,0.013317558
grenade_diff_ct,0.012900505
map_name_de_dust2,0.011429806
map_name_de_mirage,0.01039284
score_diff_ct,0.010154038
ct_defuse_kits,0.010073052
t_ak47,0.009987725
ct_cash,0.009933896
t_score,0.009566709
t_awp,0.009410326
ct_ak47,0.009301266
ct_awp,0.009300171
ct_helmets,0.009269858
map_name_de_vertigo,0.00913427
t_grenades,0.008975219
ct_rifles,0.008774892
ct_m4a4,0.008771394
t_cash,0.008696374
t_helmets,0.008614836
cash_diff_ct,0.008589016
ct_score,0.008231429
smg_diff_ct,0.00811475
awp_diff_ct,0.008022787
round_num,0.007895065
ct_grenades,0.007841489
ct_smgs,0.0069670016
t_m4a1_s,0.0069061127
t_m4a4,0.006820512
map_name_de_train,0.005896907
t_smgs,0.005623749
map_name_de_overpass,0.00528327
map_name_de_nuke,0.0049997703
map_name_de_ancient,0.004607045
