feature,dtype,missing_count,nunique,min,max,mean,nonzero_rate
map_name,object,0,8,,,,
round_num,int64,0,71,1.0,71.0,14.124531333690413,1.0
ct_score,int64,0,35,0.0,34.0,6.56373861810391,0.9044651117495253
t_score,int64,0,37,0.0,36.0,6.560792715586502,0.8956274041973025
score_diff_ct,int64,0,31,-15.0,15.0,0.0029459025174076057,0.8787310707503531
ct_eq_value,int64,0,697,1000.0,37250.0,22458.84744607294,1.0
t_eq_value,int64,0,620,1000.0,36800.0,19678.698203242926,1.0
eq_value_diff_ct,int64,0,1192,-29100.0,33300.0,2780.149242830014,0.9912353313531674
ct_cash,int64,0,1132,0.0,70950.0,9274.582460924186,0.9998052295856259
t_cash,int64,0,1146,0.0,70050.0,9634.68982811511,0.9998539221892194
cash_diff_ct,int64,0,2064,-67500.0,68150.0,-360.1073671909237,0.9863173783902225
ct_armor,int64,0,6,0.0,5.0,4.4526707893071045,0.9626284267419779
t_armor,int64,0,6,0.0,5.0,4.362224278132151,0.9477284900423626
armor_diff_ct,int64,0,11,-5.0,5.0,0.09044651117495252,0.3849637240103228
ct_helmets,int64,0,6,0.0,5.0,2.888956517504991,0.7965136095827043
t_helmets,int64,0,6,0.0,5.0,3.8626138189609,0.8483955787115937
helmet_diff_ct,int64,0,11,-5.0,5.0,-0.9736573014559089,0.7489409358718411
ct_defuse_kits,int64,0,6,0.0,5.0,2.0765934654525977,0.728392657155378
ct_grenades,int64,0,21,0.0,20.0,13.079320251253835,0.9599503335443346
t_grenades,int64,0,21,0.0,20.0,11.916906071967668,0.9520864780639821
grenade_diff_ct,int64,0,41,-20.0,20.0,1.1624141792861664,0.9516238983298437
ct_ak47,int64,0,6,0.0,5.0,0.5844086283293568,0.37700248332278324
t_ak47,int64,0,6,0.0,5.0,2.6276963529239907,0.7689779422505721
ct_m4a4,int64,0,6,0.0,5.0,0.7374738277255685,0.3782684910162146
t_m4a4,int64,0,4,0.0,3.0,0.024735842625505187,0.022495982860203535
ct_m4a1_s,int64,0,6,0.0,5.0,1.0699225787602864,0.4573939718556751
t_m4a1_s,int64,0,4,0.0,3.0,0.0390758143837951,0.03449870964600477
ct_awp,int64,0,4,0.0,3.0,0.6646296927496713,0.5636168865949263
t_awp,int64,0,4,0.0,3.0,0.38194478258752496,0.3772459463407508
awp_diff_ct,int64,0,7,-3.0,3.0,0.28268491016214636,0.45727224034669134
ct_rifles,int64,0,6,0.0,5.0,2.7712664946194674,0.7953936797000536
t_rifles,int64,0,6,0.0,5.0,3.054535716024736,0.7916200029215562
rifle_diff_ct,int64,0,11,-5.0,5.0,-0.28326922140526856,0.704046355358621
ct_smgs,int64,0,6,0.0,5.0,0.2555144373569655,0.1776793105127331
t_smgs,int64,0,6,0.0,5.0,0.20623752252032918,0.14607781078054244
smg_diff_ct,int64,0,11,-5.0,5.0,0.049276914836636314,0.28314748989628474
