phase,parameter,value,best_tree_count,val_accuracy,val_log_loss,val_auc
depth,max_depth,2,,0.651790,0.596435,0.716221
depth,max_depth,3,,0.649881,0.597347,0.714733
depth,max_depth,4,,0.651551,0.598085,0.715003
depth,max_depth,5,,0.650716,0.599964,0.713881
depth,max_depth,6,,0.652506,0.603308,0.712030
min_child,min_child_weight,1,,0.650955,0.596428,0.716350
min_child,min_child_weight,3,,0.650955,0.596428,0.716350
min_child,min_child_weight,5,,0.650119,0.596536,0.716123
min_child,min_child_weight,10,,0.649761,0.596624,0.715836
min_child,min_child_weight,20,,0.651193,0.596651,0.715943
lambda,reg_lambda,0.5,,0.651432,0.596521,0.716303
lambda,reg_lambda,1,,0.650955,0.596428,0.716350
lambda,reg_lambda,3,,0.650358,0.596534,0.716011
lambda,reg_lambda,5,,0.650477,0.596508,0.715964
lambda,reg_lambda,10,,0.650597,0.596459,0.716061
lambda,reg_lambda,20,,0.650477,0.596430,0.716637
alpha,reg_alpha,0,,0.650955,0.596428,0.716350
alpha,reg_alpha,0.05,,0.651671,0.596470,0.716221
alpha,reg_alpha,0.1,,0.651551,0.596449,0.716261
alpha,reg_alpha,0.5,,0.651432,0.596522,0.716101
alpha,reg_alpha,1,,0.651551,0.596539,0.716078
alpha,reg_alpha,2,,0.651432,0.596509,0.716065
subsample,subsample,0.7,,0.650477,0.596625,0.716333
subsample,subsample,0.8,,0.649642,0.596605,0.716357
subsample,subsample,0.85,,0.650955,0.596428,0.716350
subsample,subsample,0.9,,0.648449,0.596622,0.716067
subsample,subsample,1.0,,0.648568,0.596811,0.715709
colsample,colsample_bytree,0.6,,0.649284,0.596660,0.715855
colsample,colsample_bytree,0.7,,0.650119,0.596599,0.716146
colsample,colsample_bytree,0.8,,0.650955,0.596574,0.716148
colsample,colsample_bytree,0.85,,0.650955,0.596428,0.716350
colsample,colsample_bytree,0.9,,0.651074,0.596572,0.715989
colsample,colsample_bytree,1.0,,0.649523,0.596694,0.715418
learning_rate,learning_rate,0.01,780,0.647494,0.596224,0.718111
learning_rate,learning_rate,0.02,429,0.648449,0.596119,0.717974
learning_rate,learning_rate,0.03,213,0.650358,0.596038,0.718596
learning_rate,learning_rate,0.05,192,0.647494,0.596302,0.717631
learning_rate,learning_rate,0.1,77,0.648210,0.596194,0.718568
