bin,lower_bound,upper_bound,count,mean_probability,observed_ct_win_rate,absolute_gap
1,0.0,0.1,176,0.054598935287107124,0.056818181818181816,0.0022192465310746923
2,0.1,0.2,201,0.15910353177963799,0.15920398009950248,0.00010044831986449898
3,0.2,0.3,256,0.252276859653648,0.18359375,0.06868310965364799
4,0.3,0.4,213,0.3419413541404294,0.3474178403755869,0.005476486235157452
5,0.4,0.5,399,0.4644089070029725,0.5087719298245614,0.04436302282158894
6,0.5,0.6,1835,0.5568675277668383,0.5346049046321526,0.022262623134685744
7,0.6,0.7,468,0.6279192713336048,0.6495726495726496,0.021653378239044785
8,0.7,0.8,177,0.7523531583742907,0.7796610169491526,0.027307858574861843
9,0.8,0.9,243,0.8450012766284707,0.8353909465020576,0.009610330126413102
10,0.9,1.0,204,0.9521298586737876,0.9607843137254902,0.008654455051702592
