actual_label,bin,lower_bound,upper_bound,count,fraction_within_label
0,1,0.0,0.05,104,0.05241935483870968
0,2,0.05,0.1,62,0.03125
0,3,0.1,0.15,60,0.03024193548387097
0,4,0.15,0.2,109,0.05493951612903226
0,5,0.2,0.25,102,0.05141129032258065
0,6,0.25,0.3,107,0.053931451612903226
0,7,0.3,0.35,93,0.046875
0,8,0.35,0.4,46,0.023185483870967742
0,9,0.4,0.45,56,0.028225806451612902
0,10,0.45,0.5,140,0.07056451612903226
0,11,0.5,0.55,381,0.19203629032258066
0,12,0.55,0.6,473,0.23840725806451613
0,13,0.6,0.65,138,0.06955645161290322
0,14,0.65,0.7,26,0.01310483870967742
0,15,0.7,0.75,18,0.009072580645161291
0,16,0.75,0.8,21,0.010584677419354838
0,17,0.8,0.85,25,0.012600806451612902
0,18,0.85,0.9,15,0.007560483870967742
0,19,0.9,0.95,3,0.0015120967741935483
0,20,0.95,1.0,5,0.0025201612903225806
1,1,0.0,0.05,5,0.0022851919561243145
1,2,0.05,0.1,5,0.0022851919561243145
1,3,0.1,0.15,7,0.0031992687385740404
1,4,0.15,0.2,25,0.011425959780621572
1,5,0.2,0.25,12,0.005484460694698354
1,6,0.25,0.3,35,0.015996343692870202
1,7,0.3,0.35,40,0.018281535648994516
1,8,0.35,0.4,34,0.015539305301645339
1,9,0.4,0.45,53,0.024223034734917732
1,10,0.45,0.5,150,0.06855575868372943
1,11,0.5,0.55,366,0.16727605118829983
1,12,0.55,0.6,615,0.2810786106032907
1,13,0.6,0.65,242,0.11060329067641682
1,14,0.65,0.7,62,0.0283363802559415
1,15,0.7,0.75,68,0.031078610603290677
1,16,0.75,0.8,70,0.031992687385740404
1,17,0.8,0.85,115,0.052559414990859234
1,18,0.85,0.9,88,0.04021937842778794
1,19,0.9,0.95,88,0.04021937842778794
1,20,0.95,1.0,108,0.04936014625228519
